Timestamp,MovingAverage
2023-11-24 13:50:25,43922.75
2023-11-24 13:50:26,43923.15
2023-11-24 13:50:27,43924.91666666667
2023-11-24 13:50:28,43929.6
2023-11-24 13:50:29,43932.88333333333
2023-11-24 13:50:30,43934.65
2023-11-24 13:50:31,43933.166666666664
2023-11-24 13:50:32,43933.9
2023-11-24 13:50:33,43934.05
2023-11-24 13:50:34,43933.1
2023-11-24 13:50:35,43930.8
2023-11-24 13:50:36,43931.65
2023-11-24 13:50:37,43933.316666666666
2023-11-24 13:50:38,43935.13333333333
2023-11-24 13:50:39,43934.48333333334
2023-11-24 13:50:40,43932.63333333333
2023-11-24 13:50:41,43931.86666666667
2023-11-24 13:50:42,43934.066666666666
2023-11-24 13:50:43,43935.98333333333
2023-11-24 13:50:44,43933.85
2023-11-24 13:50:45,43928.46666666667
2023-11-24 13:50:46,43926.58333333333
2023-11-24 13:50:47,43927.51666666666
2023-11-24 13:50:49,43930.53333333333
2023-11-24 13:50:49,43927.98333333333
2023-11-24 13:50:50,43923.0
2023-11-24 13:50:51,43916.63333333333
2023-11-24 13:50:52,43910.5
2023-11-24 13:50:53,43903.4
2023-11-24 13:50:54,43897.65
2023-11-24 13:50:55,43896.03333333333
2023-11-24 13:50:56,43898.166666666664
2023-11-24 13:50:57,43899.23333333333
2023-11-24 13:50:58,43899.316666666666
2023-11-24 13:50:59,43894.816666666666
2023-11-24 13:51:00,43892.416666666664
2023-11-24 13:51:01,43889.916666666664
2023-11-24 13:51:02,43893.4
2023-11-24 13:51:03,43893.933333333334
2023-11-24 13:51:04,43896.15
2023-11-24 13:51:05,43893.61666666667
2023-11-24 13:51:06,43892.15
2023-11-24 13:51:07,43885.78333333333
2023-11-24 13:51:08,43881.833333333336
2023-11-24 13:51:09,43875.95
2023-11-24 13:51:10,43872.48333333333
2023-11-24 13:51:11,43868.816666666666
