Timestamp,Open,Low,High,Close
2023-11-24 13:50:23,19082.15,19082.15,19082.15,19082.15
2023-11-24 13:50:23,43924.35,43924.35,43924.35,43924.35
2023-11-24 13:50:23,19366.75,19366.75,19366.75,19366.75
2023-11-24 13:50:24,19079.85,19079.85,19079.85,19079.85
2023-11-24 13:50:24,43921.1,43921.1,43921.1,43921.1
2023-11-24 13:50:24,19365.05,19365.05,19365.05,19365.05
2023-11-24 13:50:25,19082.05,19082.05,19082.05,19082.05
2023-11-24 13:50:25,43922.8,43922.8,43922.8,43922.8
2023-11-24 13:50:25,19372.0,19372.0,19372.0,19372.0
2023-11-24 13:50:26,19081.1,19081.1,19081.1,19081.1
2023-11-24 13:50:26,43925.55,43925.55,43925.55,43925.55
2023-11-24 13:50:26,19366.9,19366.9,19366.9,19366.9
2023-11-24 13:50:27,19087.6,19087.6,19087.6,19087.6
2023-11-24 13:50:27,43926.4,43926.4,43926.4,43926.4
2023-11-24 13:50:27,19363.05,19363.05,19363.05,19363.05
2023-11-24 13:50:28,19086.1,19086.1,19086.1,19086.1
2023-11-24 13:50:28,43936.85,43936.85,43936.85,43936.85
2023-11-24 13:50:28,19359.35,19359.35,19359.35,19359.35
2023-11-24 13:50:29,19082.65,19082.65,19082.65,19082.65
2023-11-24 13:50:29,43935.4,43935.4,43935.4,43935.4
2023-11-24 13:50:29,19359.6,19359.6,19359.6,19359.6
2023-11-24 13:50:30,19071.9,19071.9,19071.9,19071.9
2023-11-24 13:50:30,43931.7,43931.7,43931.7,43931.7
2023-11-24 13:50:30,19361.2,19361.2,19361.2,19361.2
2023-11-24 13:50:31,19072.1,19072.1,19072.1,19072.1
2023-11-24 13:50:31,43932.4,43932.4,43932.4,43932.4
2023-11-24 13:50:31,19358.0,19358.0,19358.0,19358.0
2023-11-24 13:50:32,19063.65,19063.65,19063.65,19063.65
2023-11-24 13:50:32,43937.6,43937.6,43937.6,43937.6
2023-11-24 13:50:32,19364.1,19364.1,19364.1,19364.1
2023-11-24 13:50:33,19061.25,19061.25,19061.25,19061.25
2023-11-24 13:50:33,43932.15,43932.15,43932.15,43932.15
2023-11-24 13:50:33,19365.3,19365.3,19365.3,19365.3
2023-11-24 13:50:34,19060.3,19060.3,19060.3,19060.3
2023-11-24 13:50:34,43929.55,43929.55,43929.55,43929.55
2023-11-24 13:50:34,19361.75,19361.75,19361.75,19361.75
2023-11-24 13:50:35,19064.45,19064.45,19064.45,19064.45
2023-11-24 13:50:35,43930.7,43930.7,43930.7,43930.7
2023-11-24 13:50:35,19363.15,19363.15,19363.15,19363.15
2023-11-24 13:50:36,19067.1,19067.1,19067.1,19067.1
2023-11-24 13:50:36,43934.7,43934.7,43934.7,43934.7
2023-11-24 13:50:36,19363.75,19363.75,19363.75,19363.75
2023-11-24 13:50:37,19062.55,19062.55,19062.55,19062.55
2023-11-24 13:50:37,43934.55,43934.55,43934.55,43934.55
2023-11-24 13:50:37,19364.35,19364.35,19364.35,19364.35
2023-11-24 13:50:38,19063.2,19063.2,19063.2,19063.2
2023-11-24 13:50:38,43936.15,43936.15,43936.15,43936.15
2023-11-24 13:50:38,19354.85,19354.85,19354.85,19354.85
2023-11-24 13:50:39,19060.05,19060.05,19060.05,19060.05
2023-11-24 13:50:39,43932.75,43932.75,43932.75,43932.75
2023-11-24 13:50:39,19359.2,19359.2,19359.2,19359.2
2023-11-24 13:50:40,19057.0,19057.0,19057.0,19057.0
2023-11-24 13:50:40,43929.0,43929.0,43929.0,43929.0
2023-11-24 13:50:40,19360.25,19360.25,19360.25,19360.25
2023-11-24 13:50:41,19055.8,19055.8,19055.8,19055.8
2023-11-24 13:50:41,43933.85,43933.85,43933.85,43933.85
2023-11-24 13:50:41,19363.5,19363.5,19363.5,19363.5
2023-11-24 13:50:42,19060.2,19060.2,19060.2,19060.2
2023-11-24 13:50:42,43939.35,43939.35,43939.35,43939.35
2023-11-24 13:50:42,19360.9,19360.9,19360.9,19360.9
2023-11-24 13:50:43,19060.55,19060.55,19060.55,19060.55
2023-11-24 13:50:43,43934.75,43934.75,43934.75,43934.75
2023-11-24 13:50:43,19362.95,19362.95,19362.95,19362.95
2023-11-24 13:50:44,19056.05,19056.05,19056.05,19056.05
2023-11-24 13:50:44,43927.45,43927.45,43927.45,43927.45
2023-11-24 13:50:44,19362.45,19362.45,19362.45,19362.45
2023-11-24 13:50:45,19062.55,19062.55,19062.55,19062.55
2023-11-24 13:50:45,43923.2,43923.2,43923.2,43923.2
2023-11-24 13:50:45,19369.9,19369.9,19369.9,19369.9
2023-11-24 13:50:46,19066.3,19066.3,19066.3,19066.3
